Rooms,Type,Price,Method,SellerG,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Longtitude,Regionname,Propertycount
2,h,675000,1,16,13.5,3042,1,1,612,100,1975,21,144.8765,Eastern,3464
3,h,1042000,1,155,13.5,3042,2,5,612,174,1950,21,144.8796,Eastern,3464
4,h,773000,1,28,13.5,3042,3,4,531,309,1980,21,144.8679,Eastern,3464
3,h,810000,0,16,13.5,3042,3,2,555,192,1980,21,144.8694,Eastern,3464
3,h,715000,1,204,13.5,3042,2,2,422,126,1995,21,144.8792,Eastern,3464
3,r,540000,3,155,13.5,3042,2,1,161,101,2010,21,144.8802,Eastern,3464
3,r,825000,3,16,13.5,3042,2,1,293,102,1960,21,144.8776,Eastern,3464
3,h,685000,1,16,13.5,3042,1,1,579,113,1975,21,144.8733,Eastern,3464
4,h,900000,1,90,13.5,3042,2,3,628,146,1975,21,144.8739,Eastern,3464
2,h,1275000,1,260,3.3,3206,1,0,120,82,1900,25,144.9555,Eastern,3280
3,h,2850000,0,32,3.3,3206,2,0,211,198,1890,25,144.9499,Eastern,3280
3,h,1850000,1,85,3.3,3206,2,0,128,133,1890,25,144.9488,Eastern,3280
2,h,1436000,1,192,3.3,3206,1,0,130,81,1900,25,144.9565,Eastern,3280
4,h,2300000,1,135,3.3,3206,2,1,153,180,1880,25,144.9523,Eastern,3280
3,h,1800000,4,85,3.3,3206,2,1,132,159,1996,25,144.952,Eastern,3280
2,h,2120000,1,85,3.3,3206,1,1,199,107,1900,25,144.9554,Eastern,3280
3,h,1800000,1,135,3.3,3206,2,1,90,122,1900,25,144.9571,Eastern,3280
3,h,2615000,1,41,3.3,3206,2,1,177,181,1880,25,144.9585,Eastern,3280
3,h,1370000,1,85,3.3,3206,2,2,0,85,2000,25,144.9511,Eastern,3280
2,h,1322500,1,85,3.3,3206,1,0,149,98,1890,25,144.9481,Eastern,3280
2,h,1562500,1,85,3.3,3206,1,0,141,83,1890,25,144.9562,Eastern,3280
3,h,2000000,4,192,3.3,3206,2,1,211,147,1900,25,144.9575,Eastern,3280
3,h,3010000,1,85,3.3,3206,2,0,147,146,1890,25,144.9551,Eastern,3280
4,h,2800000,4,41,3.3,3206,3,1,327,254,1910,25,144.9475,Eastern,3280
3,h,2100000,3,135,3.3,3206,1,1,120,123,1900,25,144.9546,Eastern,3280
3,h,2000000,0,135,3.3,3206,1,1,238,131,1890,25,144.9528,Eastern,3280
1,p,442500,1,135,3.3,3206,1,0,0,34,1970,25,144.9517,Eastern,3280
4,h,4735000,1,135,3.3,3206,2,1,330,207,1910,25,144.9558,Eastern,3280
4,h,2140000,1,85,3.3,3206,2,1,183,145,1880,25,144.9495,Eastern,3280
2,h,980000,1,85,3.3,3206,1,0,79,68,1890,25,144.9519,Eastern,3280
3,h,1740000,0,135,3.3,3206,2,2,147,134,1890,25,144.9453,Eastern,3280
1,h,985000,1,135,3.3,3206,1,0,81,54,1900,25,144.9497,Eastern,3280
4,h,2000000,1,27,6.4,3078,2,4,853,263,1930,6,145.0318,Eastern,2211
4,h,1717500,1,49,6.4,3078,2,1,599,203,1925,6,145.031,Eastern,2211
5,h,2840000,1,155,6.4,3078,4,4,809,165,1910,6,145.0268,Eastern,2211
2,p,525500,1,146,6.4,3078,1,1,88,60,1960,6,145.0306,Eastern,2211
2,r,805000,1,146,6.4,3078,2,3,155,140,2004,6,145.0308,Eastern,2211
4,h,1830000,1,155,6.4,3078,2,2,606,112,1970,6,145.0316,Eastern,2211
4,h,2100000,1,155,6.4,3078,2,2,575,271,2008,6,145.0319,Eastern,2211
3,h,865000,3,260,6.4,3078,1,1,180,131,2010,6,145.0243,Eastern,2211
2,p,390000,4,155,6.4,3078,1,1,0,60,1960,6,145.0314,Eastern,2211
2,p,512000,1,127,6.4,3078,1,1,0,61,1965,6,145.0262,Eastern,2211
4,h,1900000,3,140,6.4,3078,2,2,556,272,1930,31,145.0225,Eastern,2211
4,h,1950000,1,106,6.4,3078,2,3,589,210,1920,6,145.0309,Eastern,2211
3,h,520000,4,85,13.8,3018,2,1,352,242,2015,10,144.825,Eastern,5301
5,h,1525000,1,85,13.8,3018,3,3,729,268,2005,10,144.8105,Eastern,5301
2,r,720000,1,260,13.8,3018,1,2,292,125,2013,10,144.8197,Eastern,5301
3,h,1120000,1,15,13.8,3018,1,2,506,120,1930,10,144.8375,Eastern,5301
4,h,1780000,3,85,13.8,3018,3,6,1057,220,1962,10,144.819,Eastern,5301
3,p,630000,1,15,13.8,3018,1,2,311,94,1955,10,144.8143,Eastern,5301
3,h,660000,4,85,13.8,3018,1,1,602,123,1955,10,144.8116,Eastern,5301
2,p,580000,1,15,13.8,3018,1,1,225,93,1988,10,144.827,Eastern,5301
3,h,1335000,1,260,13.8,3018,1,4,777,22,1953,10,144.8249,Eastern,5301
2,p,510000,1,239,13.8,3018,1,1,127,76,1990,10,144.8182,Eastern,5301
2,p,425000,1,260,13.8,3018,1,2,115,57,1980,10,144.8185,Eastern,5301
2,p,391000,3,85,13.8,3018,1,1,0,65,1965,10,144.8384,Eastern,5301
4,h,845000,1,260,13.8,3018,1,2,745,130,1950,10,144.8155,Eastern,5301
3,p,730000,3,15,13.8,3018,2,1,69,141,2014,10,144.8286,Eastern,5301
2,p,447000,1,31,13.8,3018,1,1,137,77,1990,10,144.8299,Eastern,5301
3,h,678000,1,260,13.8,3018,1,2,606,87,1950,10,144.8124,Eastern,5301
2,p,580000,0,23,13.8,3018,2,1,175,76,2013,10,144.8268,Eastern,5301
3,h,840000,3,85,13.8,3018,2,2,534,136,1965,10,144.8245,Eastern,5301
3,p,577000,1,251,13.8,3018,2,1,205,113,2007,10,144.815,Eastern,5301
2,h,857000,3,260,13.8,3018,2,1,675,100,1950,10,144.8129,Eastern,5301
3,p,730000,3,15,13.8,3018,2,1,70,3,2014,10,144.8285,Eastern,5301
2,h,535600,3,51,13.8,3018,1,1,154,91,1996,10,144.8272,Eastern,5301
5,h,1085000,1,71,11.1,3025,3,6,592,251,1965,10,144.8567,Eastern,5132
3,h,781000,1,104,11.1,3025,1,2,533,117,1970,10,144.835,Eastern,5132
2,r,421000,1,260,11.1,3025,1,1,77,77,2009,10,144.8529,Eastern,5132
3,h,683000,1,71,11.1,3025,1,2,534,167,1967,10,144.8355,Eastern,5132
3,h,720000,4,85,11.1,3025,2,1,0,130,2012,10,144.8583,Eastern,5132
3,h,588000,1,251,11.1,3025,1,1,328,118,1970,10,144.8555,Eastern,5132
3,h,710000,0,239,11.1,3025,1,3,540,116,1960,10,144.8378,Eastern,5132
4,h,875000,3,104,11.1,3025,1,4,559,169,1965,10,144.8529,Eastern,5132
3,h,675000,1,260,11.1,3025,2,2,171,109,2012,10,144.8554,Eastern,5132
3,h,708000,1,85,11.1,3025,1,2,585,97,1960,10,144.8523,Eastern,5132
4,h,693000,3,195,11.1,3025,2,4,315,170,2008,10,144.8467,Eastern,5132
3,h,620000,3,99,11.1,3025,2,2,276,100,2010,10,144.8443,Eastern,5132
3,h,728500,1,104,11.1,3025,1,1,531,157,1960,10,144.8385,Eastern,5132
3,h,931000,1,260,11.1,3025,2,1,590,160,1950,10,144.8649,Eastern,5132
3,h,815000,1,260,11.1,3025,2,3,555,130,1960,10,144.8388,Eastern,5132
4,h,1200000,3,192,11.1,3025,1,4,633,158,1960,10,144.8541,Eastern,5132
2,p,292000,1,104,11.1,3025,1,1,153,70,1970,10,144.8649,Eastern,5132
2,p,599000,1,106,6.3,3143,1,1,0,76,1964,26,145.0262,Eastern,4836
3,p,995000,1,135,6.3,3143,2,2,0,100,1998,26,145.016,Eastern,4836
3,r,1205000,1,106,6.3,3143,2,2,101,105,2000,26,145.0135,Eastern,4836
3,h,1939000,1,106,6.3,3143,2,2,296,150,1889,26,145.0274,Eastern,4836
3,h,1870000,1,94,6.3,3143,1,1,217,116,1888,26,145.0182,Eastern,4836
3,r,1918000,3,106,6.3,3143,2,2,0,165,1995,26,145.0267,Eastern,4836
3,h,2050000,1,135,6.3,3143,2,1,205,116,1910,26,145.0281,Eastern,4836
3,p,735000,0,135,6.3,3143,2,1,2113,14,1970,26,145.0262,Eastern,4836
1,h,1435000,3,106,6.3,3143,2,1,144,107,1900,26,145.0228,Eastern,4836
1,p,280000,0,260,6.3,3143,1,1,0,38,1975,26,145.0185,Eastern,4836
2,p,592500,1,260,6.3,3143,1,1,0,73,1970,26,145.0174,Eastern,4836
2,h,1210000,1,135,6.3,3143,1,0,249,96,1910,26,145.016,Eastern,4836
4,h,2801000,1,135,6.3,3143,2,2,624,222,1900,26,145.0173,Eastern,4836
3,h,1800000,0,192,6.3,3143,2,2,405,121,1910,26,145.0145,Eastern,4836
4,h,2200000,0,106,6.3,3143,1,2,495,163,1900,26,145.0264,Eastern,4836
6,h,5525000,1,135,6.3,3143,3,4,1491,516,1935,26,145.013,Eastern,4836
1,p,440000,3,106,6.3,3143,1,1,0,53,1970,26,145.0115,Eastern,4836
3,h,1300000,4,106,6.3,3143,1,2,212,106,1900,26,145.0149,Eastern,4836
2,p,704000,3,85,6.3,3143,1,1,0,74,1969,26,145.0186,Eastern,4836
2,p,620000,4,135,6.3,3143,1,1,0,98,1970,26,145.0198,Eastern,4836
3,h,1900000,1,135,6.3,3143,1,2,328,108,1900,26,145.0158,Eastern,4836
2,p,710000,1,106,6.3,3143,1,1,2471,80,1970,26,145.0186,Eastern,4836
2,p,598000,1,260,6.3,3143,1,1,0,88,1970,26,145.0156,Eastern,4836
3,h,1285000,1,135,6.3,3143,1,2,186,80,1920,26,145.0173,Eastern,4836
2,p,520000,1,260,6.3,3143,1,1,0,76,1970,26,145.0183,Eastern,4836
4,h,3625000,1,106,6.3,3143,1,2,709,251,1900,26,145.016,Eastern,4836
4,h,4200000,4,111,6.3,3143,3,3,563,333,2000,26,145.0138,Eastern,4836
3,r,1101000,1,106,6.3,3143,1,2,103,3,2000,26,145.0135,Eastern,4836
3,h,3512500,1,135,6.3,3143,2,2,617,285,1998,26,145.0264,Eastern,4836
3,p,869000,1,106,6.3,3143,1,1,0,91,1940,26,145.0264,Eastern,4836
1,p,567000,1,260,6.3,3143,1,1,0,53,2013,26,145.0113,Eastern,4836
3,h,940000,1,155,5.9,3032,1,2,298,108,1920,21,144.9195,Eastern,6567
2,p,467000,3,28,5.9,3032,1,1,0,62,1980,21,144.9201,Eastern,6567
3,h,1380000,3,155,5.9,3032,2,2,277,174,1910,21,144.9221,Eastern,6567
2,p,490000,4,106,5.9,3032,1,1,423,62,1970,21,144.9015,Eastern,6567
4,h,1850000,1,28,5.9,3032,3,1,478,270,1900,21,144.9179,Eastern,6567
3,h,971000,3,155,5.9,3032,2,2,285,128,1900,21,144.9091,Eastern,6567
2,h,710000,0,155,5.9,3032,1,1,214,77,1890,21,144.9142,Eastern,6567
6,h,2425000,0,28,5.9,3032,3,2,1014,435,1887,21,144.9184,Eastern,6567
2,h,750000,3,133,5.9,3032,1,1,226,92,1920,21,144.9093,Eastern,6567
2,h,1053000,1,155,5.9,3032,1,1,269,109,1900,21,144.929,Eastern,6567
3,h,1377000,1,155,5.9,3032,1,1,417,168,1900,21,144.9208,Eastern,6567
3,h,970000,1,28,5.9,3032,1,2,350,125,1904,21,144.91,Eastern,6567
2,h,751000,0,155,5.9,3032,1,1,118,79,1890,21,144.9288,Eastern,6567
2,h,950000,3,194,5.9,3032,1,1,173,102,1900,21,144.9206,Eastern,6567
2,p,685000,1,28,5.9,3032,1,2,228,90,1995,21,144.9066,Eastern,6567
3,h,1230000,1,155,5.9,3032,1,2,594,148,1960,21,144.9064,Eastern,6567
2,h,770000,0,155,5.9,3032,1,1,226,87,1900,21,144.9186,Eastern,6567
4,h,890000,3,194,5.9,3032,1,1,300,185,1890,21,144.9143,Eastern,6567
3,h,1440000,1,155,5.9,3032,1,1,487,131,1900,21,144.9146,Eastern,6567
3,h,1000000,0,28,5.9,3032,2,2,440,120,1955,21,144.9031,Eastern,6567
3,h,1435000,1,155,5.9,3032,2,2,532,147,1950,21,144.904,Eastern,6567
1,p,390000,1,4,5.9,3032,1,1,0,58,1972,21,144.9094,Eastern,6567
3,h,1425000,0,106,5.9,3032,2,2,495,139,1920,21,144.9055,Eastern,6567
4,h,1340000,1,155,5.9,3032,2,2,683,232,1978,21,144.932,Eastern,6567
3,h,955000,1,28,5.9,3032,1,1,263,117,1910,21,144.9116,Eastern,6567
4,h,1100000,4,155,5.9,3032,2,5,559,195,1920,21,144.9136,Eastern,6567
2,p,432000,1,23,5.9,3032,1,1,0,62,1978,21,144.9303,Eastern,6567
4,h,1640000,1,194,5.9,3032,3,2,562,204,1890,21,144.903,Eastern,6567
6,h,1430000,1,155,5.9,3032,2,1,461,286,1900,21,144.9295,Eastern,6567
2,p,610000,3,28,5.9,3032,1,1,301,104,1995,21,144.914,Eastern,6567
3,h,940000,1,155,5.9,3032,3,1,491,127,1950,21,144.9136,Eastern,6567
3,h,890000,3,28,5.9,3032,1,1,242,110,1920,21,144.9114,Eastern,6567
3,h,1180000,3,28,5.9,3032,2,2,617,149,1930,21,144.906,Eastern,6567
4,h,1480000,1,194,5.9,3032,2,2,597,180,1939,21,144.9088,Eastern,6567
2,r,865000,3,155,5.9,3032,2,1,146,132,2015,21,144.9038,Eastern,6567
2,p,442000,1,4,5.9,3032,1,1,0,62,1975,21,144.9219,Eastern,6567
3,h,1037500,1,4,5.9,3032,1,2,506,110,1920,21,144.9133,Eastern,6567
3,r,1050000,1,106,5.9,3032,2,2,318,160,2013,21,144.9035,Eastern,6567
2,p,440000,1,139,5.9,3032,1,1,0,65,1970,21,144.9137,Eastern,6567
4,h,1430000,1,155,5.9,3032,2,0,418,158,1900,21,144.9187,Eastern,6567
3,h,1130000,1,155,5.9,3032,2,1,272,157,1900,21,144.928,Eastern,6567
3,h,1135000,1,28,5.9,3032,1,1,296,104,1910,21,144.9176,Eastern,6567
4,h,950000,0,155,5.9,3032,2,1,298,147,1920,21,144.9131,Eastern,6567
2,p,390000,0,106,5.9,3032,1,1,1957,69,2012,21,144.9074,Eastern,6567
4,h,1345000,1,106,5.9,3032,1,1,552,155,1920,21,144.9138,Eastern,6567
3,h,1381500,1,16,5.9,3032,2,2,416,168,1900,21,144.9055,Eastern,6567
3,h,940000,1,106,5.9,3032,2,2,285,172,2011,21,144.9061,Eastern,6567
3,h,995000,1,155,5.9,3032,2,1,314,177,2010,21,144.9042,Eastern,6567
3,h,786000,1,28,5.9,3032,2,1,576,120,1940,21,144.9217,Eastern,6567
2,h,705000,0,155,5.9,3032,1,3,252,108,1910,21,144.9206,Eastern,6567
2,h,760000,0,155,5.9,3032,1,1,124,77,1900,21,144.9285,Eastern,6567
3,r,1000000,1,155,5.9,3032,2,2,200,144,2003,21,144.9277,Eastern,6567
3,h,1305000,1,16,5.9,3032,1,1,278,166,1900,21,144.9223,Eastern,6567
3,h,1215000,1,221,5.9,3032,1,1,452,175,1960,21,144.9174,Eastern,6567
2,p,545000,1,155,5.9,3032,1,2,194,71,1900,21,144.9118,Eastern,6567
4,h,1705000,1,106,5.9,3032,2,4,598,273,2012,21,144.9104,Eastern,6567
4,h,2650000,1,135,11,3147,3,2,753,399,2015,2,145.0767,Eastern,3052
3,h,1670000,1,106,11,3147,2,2,599,220,1930,2,145.0688,Eastern,3052
3,r,2050000,1,73,11,3147,3,4,310,315,2014,2,145.0714,Eastern,3052
3,h,1555000,1,106,11,3147,2,2,731,149,1935,2,145.0676,Eastern,3052
3,h,1100000,0,135,11,3147,3,2,276,178,2004,2,145.0778,Eastern,3052
3,h,1337000,1,32,11,3147,1,2,583,112,1950,2,145.0786,Eastern,3052
8,h,2950000,1,260,11,3147,7,4,1472,618,2009,2,145.0788,Eastern,3052
3,h,1518000,1,106,11,3147,2,2,516,145,1920,2,145.0668,Eastern,3052
3,h,1710000,1,260,11,3147,1,2,806,101,1950,2,145.084,Eastern,3052
3,h,1655000,1,106,11,3147,1,3,780,152,1940,2,145.0815,Eastern,3052
4,h,1550000,4,135,11,3147,2,2,780,180,1938,2,145.0817,Eastern,3052
3,h,1662000,1,106,11,3147,2,2,351,228,2006,2,145.07,Eastern,3052
3,h,1665000,1,106,11,3147,2,3,702,145,1945,2,145.0695,Eastern,3052
5,h,3510000,1,106,11,3147,5,2,755,444,2015,2,145.0796,Eastern,3052
3,r,900000,1,106,11,3147,2,2,153,110,1990,2,145.0808,Eastern,3052
5,h,2752000,1,106,11,3147,4,2,1075,390,2010,2,145.073,Eastern,3052
3,h,1500000,4,106,11,3147,2,2,710,139,1945,2,145.0897,Eastern,3052
4,h,1800000,1,106,11,3147,2,4,749,206,1950,2,145.077,Eastern,3052
3,h,1830000,1,106,11,3147,2,3,724,168,1940,2,145.0879,Eastern,3052
3,h,1415000,1,32,11,3147,1,1,605,111,1950,2,145.0774,Eastern,3052
2,h,1440000,0,106,11,3147,1,1,687,104,1940,2,145.0692,Eastern,3052
4,r,1250000,4,161,11,3147,2,2,321,199,2007,2,145.08,Eastern,3052
5,h,1600000,1,135,11,3147,3,4,700,266,1950,2,145.0758,Eastern,3052
4,h,1860000,1,106,11,3147,2,3,696,274,2000,2,145.0746,Eastern,3052
4,h,1790000,0,260,11,3147,2,2,514,240,1935,2,145.0772,Eastern,3052
4,h,1950000,1,229,11,3147,2,2,844,278,1940,2,145.0688,Eastern,3052
3,h,1650000,1,135,11,3147,1,1,697,164,1947,2,145.0903,Eastern,3052
4,h,1200000,3,188,12.2,3147,3,2,372,201,2016,20,145.0999,Eastern,2894
2,h,1075000,4,106,12.2,3147,1,2,695,114,1950,20,145.0944,Eastern,2894
4,h,1500000,1,73,12.2,3147,2,2,621,203,2000,20,145.1023,Eastern,2894
2,r,700000,1,260,12.2,3147,1,2,367,110,1970,20,145.109,Eastern,2894
3,h,761000,0,73,12.2,3147,2,4,400,94,1950,20,145.106,Eastern,2894
3,h,1365000,1,73,12.2,3147,1,1,792,792,1950,20,145.0972,Eastern,2894
4,h,1100000,4,229,12.2,3147,2,2,803,152,1970,20,145.1126,Eastern,2894
2,p,690000,1,196,12.2,3147,1,1,216,90,2003,20,145.1017,Eastern,2894
3,h,1631000,1,106,12.2,3147,2,3,782,215,1950,20,145.1021,Eastern,2894
4,h,1500000,1,32,12.2,3147,2,1,593,255,1930,20,145.096,Eastern,2894
5,h,1529500,1,32,12.2,3147,3,2,585,317,2000,20,145.1024,Eastern,2894
2,p,600000,1,161,12.2,3147,1,1,153,80,1970,20,145.0962,Eastern,2894
4,h,1240000,1,229,12.2,3147,2,2,766,192,1950,20,145.1097,Eastern,2894
2,p,700000,1,260,12.2,3147,1,2,192,88,2007,20,145.102,Eastern,2894
2,h,1110000,1,73,12.2,3147,1,1,586,86,1950,20,145.1082,Eastern,2894
3,h,1305000,1,106,12.2,3147,1,1,760,120,1960,20,145.1038,Eastern,2894
3,h,855000,1,161,12.2,3147,2,1,320,85,1958,20,145.1103,Eastern,2894
3,r,900500,1,106,12.2,3147,2,2,256,134,2012,20,145.1096,Eastern,2894
3,h,1200000,4,32,12.2,3147,2,2,839,198,1970,20,145.1098,Eastern,2894
3,r,830000,1,16,12.2,3147,1,2,212,130,2012,20,145.1089,Eastern,2894
3,h,850000,1,150,10.5,3034,1,1,593,118,1970,21,144.8674,Eastern,4502
3,h,750000,3,150,10.5,3034,1,1,0,103,1980,21,144.8611,Eastern,4502
3,r,851000,1,155,10.5,3034,3,1,557,181,2017,21,144.8572,Eastern,4502
4,h,1155000,1,155,10.5,3034,2,2,569,225,2008,21,144.8655,Eastern,4502
3,h,680000,1,155,10.5,3034,1,2,570,120,1970,21,144.8542,Eastern,4502
3,h,627500,3,150,10.5,3034,1,1,550,143,1970,21,144.8622,Eastern,4502
4,h,950000,1,150,10.5,3034,3,3,761,281,1970,21,144.8714,Eastern,4502
3,h,705000,1,155,10.5,3034,1,1,581,106,1960,21,144.8575,Eastern,4502
4,h,1100000,4,28,10.5,3034,3,2,873,395,1992,21,144.8639,Eastern,4502
3,h,892500,1,155,10.5,3034,1,1,586,118,1965,21,144.8603,Eastern,4502
2,h,522500,1,155,10.5,3034,1,1,220,101,1995,21,144.8641,Eastern,4502
4,h,680000,0,155,10.5,3034,2,2,554,140,1960,21,144.8633,Eastern,4502
3,h,875000,1,68,10.5,3034,1,3,812,117,1960,21,144.8578,Eastern,4502
4,h,762000,1,155,10.5,3034,2,2,589,150,1961,21,144.8534,Eastern,4502
2,p,411000,0,16,10.5,3034,1,1,0,85,1995,21,144.863,Eastern,4502
3,h,805000,1,155,10.5,3034,2,2,593,103,1970,21,144.8581,Eastern,4502
3,h,634000,1,155,10.5,3034,2,1,582,153,1950,21,144.8568,Eastern,4502
4,h,1819000,1,82,6.6,3183,2,1,244,180,1900,25,144.9928,Eastern,2952
2,p,410000,0,260,6.6,3183,1,2,0,61,1965,25,144.9958,Eastern,2952
2,r,1015000,1,82,6.6,3183,1,2,114,120,2000,25,144.9961,Eastern,2952
2,p,502500,1,32,6.6,3183,1,1,0,65,1960,25,144.9952,Eastern,2952
2,p,520000,1,82,6.6,3183,1,0,0,58,1970,25,144.9972,Eastern,2952
2,p,442000,3,32,6.6,3183,1,1,0,61,1960,25,144.9962,Eastern,2952
3,h,1193000,1,140,6.6,3183,1,1,178,100,1920,25,144.9948,Eastern,2952
2,p,416000,1,46,6.6,3183,1,1,0,49,1960,25,144.9966,Eastern,2952
2,p,474000,1,260,6.6,3183,1,1,0,59,1970,25,144.9917,Eastern,2952
2,h,981000,1,32,6.6,3183,1,0,159,84,1930,25,144.9933,Eastern,2952
3,h,1690000,1,140,6.6,3183,2,2,339,159,1890,25,144.9909,Eastern,2952
2,p,540000,4,140,6.6,3183,1,1,483,51,1970,25,144.9969,Eastern,2952
2,h,2100000,1,135,9.7,3103,1,1,659,123,1920,2,145.0807,Eastern,5682
4,h,1800000,4,135,9.7,3103,2,2,715,218,1985,2,145.0958,Eastern,5682
2,r,1255000,1,161,9.7,3103,1,1,208,129,2000,2,145.0975,Eastern,5682
3,p,1070000,2,179,9.7,3103,2,2,206,112,1998,2,145.0812,Eastern,5682
5,h,2570000,0,192,9.7,3103,3,2,715,420,2009,2,145.0768,Eastern,5682
4,h,2400000,4,193,9.7,3103,2,2,744,226,1985,2,145.0748,Eastern,5682
2,p,806000,1,161,9.7,3103,1,1,122,97,1977,2,145.0916,Eastern,5682
6,h,4000000,4,106,9.7,3103,4,7,2051,449,1935,2,145.1016,Eastern,5682
5,h,2250000,0,161,9.7,3103,3,2,600,356,2006,2,145.0801,Eastern,5682
5,h,2800000,4,135,9.7,3103,3,2,678,349,2001,2,145.0708,Eastern,5682
2,h,1850000,4,73,9.7,3103,1,1,1015,166,1930,2,145.0826,Eastern,5682
3,h,700000,4,135,9.7,3103,1,1,188,110,1970,2,145.065,Eastern,5682
2,h,500000,1,135,9.7,3103,1,1,0,72,1960,2,145.0841,Eastern,5682
3,h,2125000,3,106,9.7,3103,2,2,699,252,1985,2,145.0966,Eastern,5682
4,h,1800000,0,106,9.7,3103,2,2,577,200,1948,2,145.0693,Eastern,5682
2,p,635000,1,73,9.7,3103,1,1,0,70,2014,2,145.0724,Eastern,5682
2,p,526000,1,260,9.7,3103,1,1,0,73,1960,2,145.0993,Eastern,5682
3,h,905000,1,111,9.7,3103,1,2,281,150,1995,2,145.0652,Eastern,5682
4,h,1750000,0,10,9.7,3103,3,2,453,308,2016,2,145.1006,Eastern,5682
2,r,760000,1,47,9.7,3103,1,1,121,100,1960,2,145.0881,Eastern,5682
3,r,1367000,1,106,9.7,3103,2,2,219,164,2003,2,145.0849,Eastern,5682
4,r,1400000,0,161,9.7,3103,3,2,241,240,2009,2,145.1042,Eastern,5682
4,h,3270000,1,73,9.7,3103,2,4,935,241,1927,2,145.0795,Eastern,5682
2,p,625000,0,106,9.7,3103,1,1,115,104,1960,2,145.0879,Eastern,5682
4,h,2730000,1,192,9.7,3103,3,2,674,336,1997,2,145.0786,Eastern,5682
2,p,460000,4,106,9.7,3103,1,1,0,79,1950,2,145.0839,Eastern,5682
